booking_id,passenger_key,flight_id,booking_date,status,seat_number,passport_number,emergency_contact_phone,payment_amount,payment_method,is_amount_imputed,payment_attempt_count,payment_status
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,F*****46,MASKED-6249,8150.35,NETBANKING,False,1.0,PAYMENT_RECORDED
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,L*****01,MASKED-0161,6949.93,UPI,False,1.0,PAYMENT_RECORDED
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,D*****55,MASKED-7221,,,,,NO_PAYMENT_RECORD
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,P*****70,MASKED-9325,13057.27,CARD,False,1.0,PAYMENT_RECORDED
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,M*****27,MASKED-8072,4857.79,UPI,False,1.0,PAYMENT_RECORDED
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,L*****92,MASKED-2966,14501.45,CARD,False,3.0,PAYMENT_RECORDED
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,C*****38,MASKED-6345,11188.7,UPI,False,2.0,PAYMENT_RECORDED
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,F*****95,MASKED-0795,7503.17,UPI,False,1.0,PAYMENT_RECORDED
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,V*****48,MASKED-0757,,,,,NO_PAYMENT_RECORD
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,B*****70,MASKED-4016,,,,,NO_PAYMENT_RECORD
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,X*****93,MASKED-1429,,,,,NO_PAYMENT_RECORD
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,J*****64,MASKED-3949,7056.42,CARD,False,1.0,PAYMENT_RECORDED
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,H*****01,MASKED-8599,,,,,NO_PAYMENT_RECORD
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,V*****38,MASKED-4041,7723.56,UPI,False,3.0,PAYMENT_RECORDED
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,W*****61,MASKED-0606,,,,,NO_PAYMENT_RECORD
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,A*****46,MASKED-1517,,,,,NO_PAYMENT_RECORD
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,F*****81,MASKED-3647,5144.89,CARD,False,1.0,PAYMENT_RECORDED
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,H*****51,MASKED-5418,,,,,NO_PAYMENT_RECORD
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,D*****15,MASKED-6192,,,,,NO_PAYMENT_RECORD
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,J*****25,MASKED-9854,9866.37,CARD,False,3.0,PAYMENT_RECORDED
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,Z*****18,MASKED-5230,,,,,NO_PAYMENT_RECORD
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,Y*****87,MASKED-6035,9750.27,NETBANKING,False,2.0,PAYMENT_RECORDED
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,B*****50,MASKED-5890,14402.39,CARD,False,1.0,PAYMENT_RECORDED
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,A*****98,MASKED-1388,8291.6,UPI,False,1.0,PAYMENT_RECORDED
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,T*****05,MASKED-0954,1199.88,UPI,False,1.0,PAYMENT_RECORDED
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,B*****62,MASKED-3432,8158.17,NETBANKING,True,3.0,PAYMENT_RECORDED
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,V*****60,MASKED-1874,12592.83,UPI,False,2.0,PAYMENT_RECORDED
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,C*****51,MASKED-4608,,,,,NO_PAYMENT_RECORD
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,D*****30,MASKED-4278,,,,,NO_PAYMENT_RECORD
B1049,P1072,SJ153,2025-07-28 11:37:36.951,INVALID,3C,W*****16,MASKED-3067,,,,,NO_PAYMENT_RECORD
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,L*****90,MASKED-4482,13350.33,NETBANKING,False,1.0,PAYMENT_RECORDED
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,M*****98,MASKED-6443,10875.08,CARD,False,1.0,PAYMENT_RECORDED
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,F*****22,MASKED-6326,9827.3,CARD,False,1.0,PAYMENT_RECORDED
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,V*****30,MASKED-5009,3081.42,CARD,False,2.0,PAYMENT_RECORDED
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,V*****69,MASKED-8191,,,,,NO_PAYMENT_RECORD
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,D*****16,MASKED-7684,,,,,NO_PAYMENT_RECORD
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,E*****20,MASKED-6381,8025.265,CARD,True,2.0,PAYMENT_RECORDED
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,C*****90,MASKED-4263,10224.13,CARD,False,2.0,PAYMENT_RECORDED
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,A*****22,MASKED-4081,,,,,NO_PAYMENT_RECORD
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,N*****36,MASKED-0433,10839.07,UPI,False,1.0,PAYMENT_RECORDED
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,T*****67,MASKED-7113,11681.98,UPI,False,1.0,PAYMENT_RECORDED
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,R*****42,MASKED-7530,12722.62,NETBANKING,False,3.0,PAYMENT_RECORDED
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,A*****54,MASKED-7050,,,,,NO_PAYMENT_RECORD
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,J*****37,MASKED-0081,,,,,NO_PAYMENT_RECORD
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,T*****14,MASKED-2918,14413.72,UPI,False,1.0,PAYMENT_RECORDED
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,D*****19,MASKED-8991,,,,,NO_PAYMENT_RECORD
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,H*****78,MASKED-8025,,,,,NO_PAYMENT_RECORD
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,W*****32,MASKED-9825,5374.84,NETBANKING,False,3.0,PAYMENT_RECORDED
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,P*****99,MASKED-9882,5274.94,NETBANKING,False,1.0,PAYMENT_RECORDED
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,Y*****57,MASKED-6369,14992.95,UPI,False,1.0,PAYMENT_RECORDED
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,H*****92,MASKED-3428,5631.13,NETBANKING,False,1.0,PAYMENT_RECORDED
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,R*****72,MASKED-0870,,,,,NO_PAYMENT_RECORD
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,M*****61,MASKED-2708,,,,,NO_PAYMENT_RECORD
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,C*****49,MASKED-4571,,,,,NO_PAYMENT_RECORD
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,J*****65,MASKED-6104,,,,,NO_PAYMENT_RECORD
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,J*****82,MASKED-7796,,,,,NO_PAYMENT_RECORD
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,X*****30,MASKED-9350,8247.5,CARD,False,1.0,PAYMENT_RECORDED
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,E*****92,MASKED-9292,8279.97,CARD,False,2.0,PAYMENT_RECORDED
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,Z*****76,MASKED-0016,,,,,NO_PAYMENT_RECORD
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,W*****31,MASKED-8019,,,,,NO_PAYMENT_RECORD
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,H*****99,MASKED-0958,14564.92,CARD,False,2.0,PAYMENT_RECORDED
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,Y*****29,MASKED-8400,,,,,NO_PAYMENT_RECORD
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,Y*****68,MASKED-4669,,,,,NO_PAYMENT_RECORD
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,E*****76,MASKED-4087,6777.38,NETBANKING,False,1.0,PAYMENT_RECORDED
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,16E,H*****81,MASKED-8688,,,,,NO_PAYMENT_RECORD
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,V*****82,MASKED-9329,11410.8,NETBANKING,False,1.0,PAYMENT_RECORDED
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,G*****97,MASKED-3483,1169.75,UPI,False,2.0,PAYMENT_RECORDED
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,L*****00,MASKED-8674,2037.52,UPI,False,2.0,PAYMENT_RECORDED
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,A*****13,MASKED-7433,7375.1,UPI,False,1.0,PAYMENT_RECORDED
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,W*****55,MASKED-1422,,,,,NO_PAYMENT_RECORD
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,V*****82,MASKED-1775,,,,,NO_PAYMENT_RECORD
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,25D,C*****05,MASKED-1387,,,,,NO_PAYMENT_RECORD
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,P*****04,MASKED-6973,1339.36,NETBANKING,False,3.0,PAYMENT_RECORDED
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,L*****26,MASKED-0231,,,,,NO_PAYMENT_RECORD
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,P*****50,MASKED-7557,10637.23,CARD,False,2.0,PAYMENT_RECORDED
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,X*****06,MASKED-2655,,,,,NO_PAYMENT_RECORD
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,Y*****98,MASKED-8767,8168.44,UPI,False,2.0,PAYMENT_RECORDED
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,34F,J*****18,MASKED-9257,,,,,NO_PAYMENT_RECORD
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,13D,Z*****38,MASKED-0675,10455.66,CARD,False,1.0,PAYMENT_RECORDED
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,26E,Z*****12,MASKED-5408,,,,,NO_PAYMENT_RECORD
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,F*****20,MASKED-2423,,,,,NO_PAYMENT_RECORD
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,V*****17,MASKED-0041,2214.47,CARD,False,1.0,PAYMENT_RECORDED
B1102,P1448,SJ196,2025-10-06 11:37:36.951,INVALID,15F,N*****26,MASKED-7824,14361.62,CARD,False,2.0,PAYMENT_RECORDED
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,W*****76,MASKED-0195,3312.42,NETBANKING,False,2.0,PAYMENT_RECORDED
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,V*****15,MASKED-1992,,,,,NO_PAYMENT_RECORD
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,J*****50,MASKED-2865,14294.21,UPI,False,1.0,PAYMENT_RECORDED
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,H*****84,MASKED-7368,7723.56,UPI,True,1.0,PAYMENT_RECORDED
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,H*****78,MASKED-1339,,,,,NO_PAYMENT_RECORD
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,B*****37,MASKED-0049,,,,,NO_PAYMENT_RECORD
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,L*****19,MASKED-1363,13080.08,NETBANKING,False,1.0,PAYMENT_RECORDED
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,12B,D*****00,MASKED-8743,,,,,NO_PAYMENT_RECORD
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,A*****82,MASKED-0327,8158.17,NETBANKING,True,1.0,PAYMENT_RECORDED
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,27A,N*****91,MASKED-0611,9807.59,NETBANKING,False,2.0,PAYMENT_RECORDED
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,M*****49,MASKED-3389,9457.62,UPI,False,1.0,PAYMENT_RECORDED
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,W*****75,MASKED-8435,8187.33,NETBANKING,False,1.0,PAYMENT_RECORDED
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,P*****98,MASKED-1024,8185.02,UPI,False,1.0,PAYMENT_RECORDED
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,J*****40,MASKED-1177,9883.49,NETBANKING,False,1.0,PAYMENT_RECORDED
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,B*****66,MASKED-6273,13517.5,UPI,False,2.0,PAYMENT_RECORDED
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,D*****30,MASKED-2542,8158.17,NETBANKING,True,1.0,PAYMENT_RECORDED
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,N*****71,MASKED-5920,7924.37,CARD,False,2.0,PAYMENT_RECORDED
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,F*****68,MASKED-9377,1533.66,UPI,False,3.0,PAYMENT_RECORDED
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,Z*****38,MASKED-9980,,,,,NO_PAYMENT_RECORD
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,H*****35,MASKED-0459,,,,,NO_PAYMENT_RECORD
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,W*****35,MASKED-3440,8451.44,NETBANKING,False,2.0,PAYMENT_RECORDED
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,M*****59,MASKED-1753,13723.54,UPI,False,3.0,PAYMENT_RECORDED
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,27E,F*****69,MASKED-5564,,,,,NO_PAYMENT_RECORD
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,K*****84,MASKED-6718,,,,,NO_PAYMENT_RECORD
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,N*****14,MASKED-6141,,,,,NO_PAYMENT_RECORD
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,Y*****34,MASKED-9264,,,,,NO_PAYMENT_RECORD
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,W*****72,MASKED-4894,12008.51,UPI,False,1.0,PAYMENT_RECORDED
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,P*****83,MASKED-1553,,,,,NO_PAYMENT_RECORD
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,Y*****04,MASKED-6703,3592.91,UPI,False,1.0,PAYMENT_RECORDED
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,D*****08,MASKED-2875,2632.44,UPI,False,3.0,PAYMENT_RECORDED
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,E*****96,MASKED-2496,1296.69,NETBANKING,False,2.0,PAYMENT_RECORDED
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,G*****23,MASKED-9254,,,,,NO_PAYMENT_RECORD
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,D*****23,MASKED-6706,10501.09,CARD,False,1.0,PAYMENT_RECORDED
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,B*****08,MASKED-2968,2857.01,NETBANKING,False,1.0,PAYMENT_RECORDED
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,C*****11,MASKED-1393,3913.54,UPI,False,2.0,PAYMENT_RECORDED
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,A*****94,MASKED-1934,,,,,NO_PAYMENT_RECORD
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,L*****39,MASKED-2157,6016.05,UPI,False,1.0,PAYMENT_RECORDED
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,E*****07,MASKED-1700,8025.265,CARD,True,2.0,PAYMENT_RECORDED
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,F*****29,MASKED-5455,,,,,NO_PAYMENT_RECORD
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,C*****99,MASKED-4971,4506.21,CARD,False,1.0,PAYMENT_RECORDED
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,V*****37,MASKED-9840,6360.73,NETBANKING,False,1.0,PAYMENT_RECORDED
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,M*****78,MASKED-7996,8025.265,CARD,True,1.0,PAYMENT_RECORDED
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,15D,F*****61,MASKED-6715,,,,,NO_PAYMENT_RECORD
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,V*****95,MASKED-8150,7723.56,UPI,True,1.0,PAYMENT_RECORDED
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,11E,R*****90,MASKED-9430,,,,,NO_PAYMENT_RECORD
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,E*****64,MASKED-0672,,,,,NO_PAYMENT_RECORD
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,G*****12,MASKED-2528,9112.92,CARD,False,2.0,PAYMENT_RECORDED
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,V*****17,MASKED-2234,12535.73,NETBANKING,False,1.0,PAYMENT_RECORDED
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,V*****79,MASKED-9085,8025.265,CARD,True,1.0,PAYMENT_RECORDED
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,H*****85,MASKED-8402,,,,,NO_PAYMENT_RECORD
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,X*****66,MASKED-9050,5774.24,NETBANKING,False,1.0,PAYMENT_RECORDED
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,24A,B*****20,MASKED-7005,9979.51,UPI,False,1.0,PAYMENT_RECORDED
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,E*****52,MASKED-5900,,,,,NO_PAYMENT_RECORD
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,L*****92,MASKED-8235,3413.47,NETBANKING,False,1.0,PAYMENT_RECORDED
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,X*****90,MASKED-0380,7902.25,NETBANKING,False,1.0,PAYMENT_RECORDED
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,Y*****20,MASKED-3787,14265.47,UPI,False,1.0,PAYMENT_RECORDED
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,W*****24,MASKED-1686,8064.97,CARD,False,3.0,PAYMENT_RECORDED
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,C*****70,MASKED-5204,5267.38,UPI,False,1.0,PAYMENT_RECORDED
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,H*****38,MASKED-1674,7842.91,CARD,False,3.0,PAYMENT_RECORDED
B1162,P1027,AI146,2025-04-22 11:37:36.951,INVALID,32D,N*****98,MASKED-9690,,,,,NO_PAYMENT_RECORD
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,X*****58,MASKED-2987,,,,,NO_PAYMENT_RECORD
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,Z*****23,MASKED-2471,2684.77,UPI,False,1.0,PAYMENT_RECORDED
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,M*****90,MASKED-2367,9627.79,CARD,False,4.0,PAYMENT_RECORDED
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,J*****42,MASKED-7690,5530.81,NETBANKING,False,1.0,PAYMENT_RECORDED
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,N*****23,MASKED-6854,8032.22,NETBANKING,False,3.0,PAYMENT_RECORDED
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,N*****56,MASKED-3269,5435.83,CARD,False,1.0,PAYMENT_RECORDED
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,L*****56,MASKED-7397,3795.6,NETBANKING,False,1.0,PAYMENT_RECORDED
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,X*****51,MASKED-4039,,,,,NO_PAYMENT_RECORD
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,N*****46,MASKED-5830,3406.0,UPI,False,3.0,PAYMENT_RECORDED
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,T*****49,MASKED-9600,5872.42,UPI,False,3.0,PAYMENT_RECORDED
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,D*****38,MASKED-0197,7723.56,UPI,True,1.0,PAYMENT_RECORDED
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,B*****15,MASKED-4287,8158.17,NETBANKING,True,1.0,PAYMENT_RECORDED
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,27D,L*****93,MASKED-0363,10654.9,UPI,False,1.0,PAYMENT_RECORDED
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,P*****42,MASKED-7327,,,,,NO_PAYMENT_RECORD
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,M*****19,MASKED-0863,12412.89,NETBANKING,False,1.0,PAYMENT_RECORDED
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,34E,E*****38,MASKED-2098,8158.17,NETBANKING,True,1.0,PAYMENT_RECORDED
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,F*****05,MASKED-5466,2337.61,UPI,False,3.0,PAYMENT_RECORDED
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,R*****58,MASKED-9558,,,,,NO_PAYMENT_RECORD
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,Z*****94,MASKED-9169,,,,,NO_PAYMENT_RECORD
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,Y*****20,MASKED-4521,9005.88,UPI,False,1.0,PAYMENT_RECORDED
